DO,DATE,CUSTOMER CODE,CUSTOMER,LPO,
125020912,13/12/2025,HO02787,AUTOMATED GENERAL TRADING,#N/A,
125020913,13/12/2025,HO00597,DESERT LAND SCAPE CO. LLC,#N/A,
125020914,13/12/2025,HO03000,ANWAR AL AQSA ELECTRICAL & SANITARY WORKS L.L.C,#N/A,
125020915,13/12/2025,HO00518,AL SWEIDI & SHAMS CONTRACTING COMPANY - L L C,#N/A,
125020916,13/12/2025,HO00518,AL SWEIDI & SHAMS CONTRACTING COMPANY - L L C,#N/A,
125020917,13/12/2025,HO02540,DEBIT CUSTOMER ( CASH ),#N/A,
125020918,13/12/2025,HO02540,DEBIT CUSTOMER ( CASH ),#N/A,
125020919,13/12/2025,HO02490,QAMAR AL ZEYAN BLDG MAT TRDG LLC,#N/A,
125020920,13/12/2025,HO02490,QAMAR AL ZEYAN BLDG MAT TRDG LLC,#N/A,
125020921,13/12/2025,HO00468,FLAMINGO CITY BUILDING CONTRACTING LLC,#N/A,
125020922,13/12/2025,HO01740,ADWAA ALWADI ALJADIDA BUILDING MATERIAL TRADING L.L.C,#N/A,
125020923,13/12/2025,HO03033,TREND ELECTRO MECHANICAL LLC,#N/A,
125020924,13/12/2025,HO00510,AL MASAOOD BERGUM L L C- O.P.C - DUBAI BRANCH,#N/A,
125020925,13/12/2025,HO02318,MBM GULF ELECTROMECHANICAL LLC,#N/A,
125020926,13/12/2025,HO01807,Marhaba Building Materials Trading L.L.C,#N/A,
125020927,13/12/2025,HO01891,IQRAA BUILDING MATERIALS L.L.C,#N/A,
125020928,13/12/2025,HO02795,ROYAL CLASSIC CONTRACTING & GENERAL MAINT L.L.C,#N/A,
